名称,所属类别,2级类别,原产地,种植地带,人为地点,生长环境,主要用途,营养价值,经济价值,经纬度
蚕豆,农作物,豆类植物,地中海沿岸/西亚,西南（云南、四川）、西北（甘肃）,云南;曲靖市,适宜温和气候，耐寒性强，适合在肥沃、排水良好的土壤中生长。,蚕豆可作为主食，也可作为饲料。它还被用作中药材，具有一定的药用价值。,蚕豆富含植物蛋白、纤维和维生素B群，有助于增强免疫力，改善肠胃功能。,蚕豆既是餐桌美味，也用作高蛋白饲料；其加工产品可用于制浆造纸和生物活性物质提取，推动农副产品附加值不断攀升。,"103.80,25.50"
甘薯,农作物,薯类作物,中南美洲（秘鲁至墨西哥）,黄河流域（山东、河南）、长江中下游（四川、湖北）,四川;成都市,适宜温暖湿润气候，喜松软、排水良好的土壤，耐旱性较强。,甘薯不仅是重要的粮食作物，还可用作饲料，含有丰富的淀粉和纤维，具有较高的营养价值。,甘薯富含膳食纤维、胡萝卜素及维生素C，具有增强免疫力、保护眼睛的功效。,甘薯不仅供人直接食用，其淀粉可用于酒精和生物基材料生产；全株利用率高，多用途开发有效促进深加工及地方经济增长。,"104.07,30.67"
马铃薯,农作物,薯类作物,南美洲（秘鲁安第斯山区）,北方冷凉区（内蒙古、甘肃）、西南山区（云南、贵州）,湖北;襄阳市,生长在凉爽湿润的气候中，适应富含有机质且排水良好的土壤。,马铃薯是全球最重要的食物来源之一，广泛用于制作炸薯条、薯片等，且可用于酒精发酵和饲料生产。,马铃薯富含维生素C、钾、膳食纤维，是天然的抗氧化剂，有助于维护心血管健康。,马铃薯是全球重要主食，富含淀粉和维生素，可制薯片、薯条等休闲食品；其副产品在淀粉提炼和饲料生产中经济效益突出。,"112.14,32.01"
木薯,农作物,薯类作物,南美洲（巴西）,华南热带地区（广东、广西、海南）,山东;潍坊市,适合在热带和亚热带湿润气候中生长，对土壤要求不高，但需良好的排水系统。,木薯主要用于淀粉的生产，尤其在热带地区。木薯淀粉是许多食品加工的重要原料。,木薯富含碳水化合物、维生素C和钙，能提供能量，增强免疫系统功能。,木薯是热带地区主要淀粉作物，根部提取淀粉用于食品、造纸及化工；全株利用率高，兼作饲料和能源原料，推动区域农业升级。,"119.10,36.70"
花生,农作物,油料作物,南美洲（巴西至秘鲁）,东部暖温带（山东、河南、河北）,内蒙古;赤峰市,喜温暖季风气候，生长在松散、排水良好的土壤中。,花生主要用于食用油的提取，花生油在烹饪中应用广泛。花生还可制成酱料、零食等。,花生富含不饱和脂肪酸、蛋白质和矿物质，有助于降低胆固醇并促进心血管健康。,花生既为重要油料作物，又可直接食用；花生油在食品加工中市场需求旺盛，花生饼和花生粉也广泛应用于饲料和工业产品中。,"118.93,42.27"
向日葵,农作物,油料作物,北美洲（美国中西部）,内蒙古、新疆、甘肃（干旱半干旱区）,新疆;昌吉州,适应干燥气候，耐旱性强，适合在疏松、排水良好的土壤中生长。,向日葵主要用于花生油的提取，向日葵油是健康食用油的代表，此外，花朵和种子也用于装饰和加工。,向日葵富含维生素E、矿物质和抗氧化剂，有助于抗衰老、增强免疫力。,向日葵以高产油脂著称，种子可榨取食用油，同时作为零食和保健品原料；花盘和茎秆在生物质能源及工艺品制作上前景广阔。,"87.30,44.02"
油菜花,农作物,油料作物,地中海沿岸/中亚,长江流域（四川、湖北、湖南）、西北（青海）,青海;海西州,适宜温和气候，生长在肥沃且排水良好的土壤中。,油菜花是重要的油料作物，其种子可提取菜籽油。菜籽油广泛用于食用和工业用途。,油菜花富含抗氧化物质和植物营养素，有助于减缓衰老过程，保持身体健康。,油菜花是主要油料来源，其种子榨取的菜籽油广泛用于烹饪；加工副产品能转化为饲料和有机肥，推动绿色农业和环境改善。,"97.37,37.37"
萝卜,农作物,蔬菜作物,中国/中亚,华北平原（山东、河北）、长江流域,山东;临沂市,喜凉爽湿润的气候，适应富含有机质和排水良好的土壤。,萝卜是一种常见的蔬菜，富含维生素和矿物质。它可以作为主食、调味品和传统药材使用。,萝卜富含维生素C、钾和膳食纤维，有助于促进消化、排毒和减轻便秘。,萝卜作为经济蔬菜，根部可鲜食或腌制，叶子亦入菜；其深加工产品涵盖酱菜、泡菜及保健饮品，形成完整产业链促进增值。,"118.35,35.05"
白菜,农作物,蔬菜作物,中国北方,华北平原（山东、河北）、长江流域,河北;石家庄市,适宜温和湿润气候，生长在排水良好、肥沃的土壤中。,白菜是常见的蔬菜，广泛用于炒菜、汤品等，含有丰富的维生素和纤维，是餐桌上的常见食材。,白菜含有丰富的维生素C和纤维，能帮助促进消化和增强免疫力。,白菜是日常餐桌常见蔬菜，可生食、炒煮或制成泡菜；加工过程中产生的菜渣还可用于饲料和生物肥料，助力资源循环与经济增效。,"114.48,38.03"
芹菜,农作物,蔬菜作物,地中海沿岸,华北平原（山东、河北）、长江流域,湖南;岳阳市,喜欢温和湿润的气候，适合在排水良好的肥沃土壤中生长。,芹菜不仅用于餐桌，且富含多种维生素和矿物质。芹菜汁有清肝解毒的功效，常用于中医药。,芹菜富含维生素K、C、钾，具有降低血压、抗炎、促进消化的功效。,芹菜以独特风味和丰富维生素受到青睐，可鲜食、制罐头或调味品；副产品加工为饲料和生物纤维，为农业增收提供新发展途径。,"113.12,29.37"
韭菜,农作物,蔬菜作物,中国北方,华北平原（山东、河北）、长江流域,山东;青岛市,生长在温和湿润的气候中，适合肥沃且排水良好的土壤。,韭菜常用作蔬菜食用，具有清热解毒、促进消化的功效，也可用于中医药治疗。,韭菜富含维生素C、膳食纤维和矿物质，有助于促进食欲、消化和调节月经。,韭菜以浓郁香气和多重药用价值闻名，既是传统调料又可制成保健品；其产业链延伸至饲料、酿酒和生物提取，经济效益明显提升。,"120.38,36.07"
莴笋,农作物,蔬菜作物,地中海沿岸,黄淮及长江流域,河北;唐山市,适合温和湿润的气候条件，生长在肥沃、排水良好的土壤中。,莴笋富含营养，常用于凉拌和炒菜，具有很高的食用价值和药用价值。,莴笋含有丰富的维生素A、C和钙，有助于保持骨骼健康和提升免疫力。,莴笋脆嫩多汁，既适合生食又可加工成罐头和速冻食品；完整的生产加工链促进了农产品深加工，并带动现代农业产业化升级。,"118.18,39.63"
黄瓜,农作物,蔬菜作物,印度次大陆,全国广泛种植，主产于山东、河北等设施农业区,山东;寿光市,喜温暖湿润气候，适宜在肥沃、排水良好的土壤中栽培。,黄瓜是常见的蔬菜，具有清热解暑的功效，常用于生食、凉拌和腌制。,黄瓜富含水分、维生素C和纤维，具有清热解毒、保持皮肤健康的作用。,黄瓜因清脆爽口和保健功能深受消费者喜爱，既可鲜食，也适用于腌制、饮品及美容产品加工，助推品牌化和国际化发展。,"118.73,36.86"
冬瓜,农作物,蔬菜作物,中国南方/东南亚,全国广泛种植，主产于山东、河北等设施农业区,山东;寿光市,适宜温暖湿润的气候，适合在肥沃、排水良好的土壤中生长。,冬瓜常用于汤、炖菜等，具有清热解暑、利尿消肿的作用。,冬瓜含有丰富的水分、纤维和维生素C，有助于利尿、消肿、清热解毒。,冬瓜用途广泛，其瓜肉、瓜皮及瓜汁在食品和保健品中都有商业价值；规模化种植带动冷链物流和深加工，提升市场竞争力。,"118.73,36.86"
西红柿,农作物,蔬菜作物,南美洲（秘鲁至智利）,全国广泛种植，主产于山东、河北等设施农业区,山东;寿光市,需要温暖气候和充足日照，适合在排水良好的肥沃土壤中栽培。,西红柿富含维生素C，广泛用于制作沙拉、酱料、汤等，是全球普遍的食材。,西红柿富含维生素C、番茄红素和钾，具有抗氧化、保护心血管的作用。,西红柿富含维生素和番茄红素，适合鲜食及深加工为番茄酱、果汁和调味品；产业链升级推动农业与食品工业协同高效发展。,"118.73,36.86"
香菜,农作物,蔬菜作物,地中海沿岸/西亚,黄淮及长江流域,江苏;徐州市,喜温和湿润气候，适合在肥沃且排水良好的土壤中生长。,香菜主要用于调味，常用于菜肴的装饰或增加香味。它也有一定的药用价值。,香菜富含维生素K、C、E，具有抗炎、增强免疫力、促进消化的作用。,香菜作为调味佳品兼具药用价值，可提取香精用于保健品生产；鲜叶、种子加工品在餐饮、医药和日化领域均具高市场价值。,"117.20,34.26"
菠菜,农作物,蔬菜作物,波斯（今伊朗）,黄淮及长江流域,安徽;合肥市,适宜凉爽湿润气候，生长在排水良好的肥沃土壤中。,菠菜是重要的绿色蔬菜，富含铁、钙等矿物质，常用于炒菜、沙拉等。,菠菜富含铁、钙、维生素A、C，有助于补血、促进骨骼健康、抗氧化。,菠菜以高含铁量和丰富营养著称，适合鲜食和深加工；加工过程中产生的副产品可制饲料和有机肥，推动健康生态农业发展。,"117.27,31.86"
梨,农作物,果类,中国黄河流域/中亚,河北、山东、新疆库尔勒,新疆;巴音郭楞州,喜温和湿润气候，生长在排水良好的土壤中。,梨富含水分、维生素和矿物质，是清凉解渴的水果，常用于生食或制成果汁、蜜饯。,梨富含水分、维生素C、钾，具有润肺止咳、清热解毒的功效。,梨以清甜多汁闻名，适合鲜食及制成果汁、果脯等产品；其果渣和果皮可加工为饲料及生物提取物，促进果品产业整体升级。,"87.17,41.77"
青梅,农作物,果类,中国长江流域,南方丘陵（福建、广东）,福建;漳州市,适宜温和湿润的气候，生长在排水良好的土壤中。,青梅常用于制作梅酒、梅干，也用于中医药中作为清热解毒的药材。,青梅富含维生素C和有机酸，有助于消暑、抗氧化、改善食欲。,青梅具有独特酸甜风味，常用于制作梅酒、果酱和蜜饯；加工副产品可提取天然香精，助力传统果品向现代化转型升级。,"117.35,24.51"
苹果,农作物,果类,中亚（哈萨克斯坦天山地区）,黄土高原（陕西、甘肃）、环渤海（山东、辽宁）,陕西;延安市,适宜温和气候，生长在排水良好的土壤中，要求较冷凉的环境。,苹果是全球最重要的水果之一，富含膳食纤维和维生素C，常作为水果生食或制成果汁。,苹果富含膳食纤维、维生素C、抗氧化物质，具有促进消化、增强免疫力的作用。,苹果作为全球畅销水果，兼具营养与保健功能，广泛用于鲜食、果汁和果脯加工；果皮及果渣转化为饲料和提取物，提升整体产业价值。,"109.47,36.60"
桃,农作物,果类,中国西北部（陕西）,华北（山东、河北）、西北（新疆）,山东;泰安市,喜温和湿润的气候，适合在肥沃、排水良好的土壤中生长。,桃具有很高的营养价值，富含维生素、矿物质和水分。常用于水果加工、酿酒等。,桃富含维生素C、膳食纤维和矿物质，有助于润肺、解暑、促进消化。,桃子以鲜美多汁著称，既可生食也适合加工成果脯、果汁和蜜饯；桃花、桃核等副产品在保健品和工艺品领域开发潜力巨大。,"117.13,36.18"
樱桃,农作物,果类,西亚（黑海沿岸）,华北（山东、河北）、西北（新疆）,新疆;阿克苏地区,适宜温和气候，生长在排水良好的土壤中，要求凉爽的环境。,樱桃富含抗氧化物，常用于生食、制作果酱或作为甜点原料。,樱桃富含抗氧化物质、维生素C和膳食纤维，具有抗衰老、保养皮肤的效果。,樱桃因色泽艳丽、口感香甜而备受市场追捧，既可鲜食也适合制成果酱、果汁；种植和深加工产业链不断完善，推动高端水果市场发展。,"80.27,41.17"
枣,农作物,果类,中国黄河流域/西亚,华北（山东、河北）、西北（新疆）,山东;聊城市,喜温和气候，适应干燥的环境，适合在排水良好的土壤中生长。,枣是传统的中医药材，具有补血、养气的功效，常用于炖汤、煮粥、制成蜜枣等。,枣富含维生素C、铁、钾，具有补血、养颜、增强免疫力的作用。,枣是传统中药和食品的重要原料，常用于炖汤、糕点及蜜饯加工；深加工产品不断拓展，带动地方经济持续增长和农产品升级。,"115.98,36.45"
西瓜,农作物,果类,非洲撒哈拉地区,华北（山东、河北）、西北（新疆）,宁夏;银川市,喜阳光充足，适宜温暖气候，适合在肥沃且排水良好的土壤中栽培。,西瓜是夏季消暑的水果，富含水分和营养，常用于生食、榨汁和果盘。,西瓜富含水分、维生素C，能清热解暑、保持水分平衡，适合夏季消暑。,西瓜以高水分和清甜口感畅销夏季市场，可鲜食或榨汁制冻；规模化种植促进冷链物流和深加工，提升整体市场竞争力和附加值。,"106.27,38.47"
葡萄,农作物,果类,西亚（高加索地区）,新疆、宁夏、河北（怀来）,江西;赣州市,适合温和干燥气候，生长在排水良好的土壤中，要求较多的阳光。,葡萄广泛用于食用、葡萄酒生产、果干制作等。它含有丰富的抗氧化物质。,葡萄富含抗氧化物质、维生素C、葡萄糖，有助于增强免疫力、保护心血管健康。,葡萄不仅鲜食美味，更是葡萄酒和干果的重要原料；从种植到深加工及品牌营销，推动果酒、保健品等领域经济效益全面提升。,"114.93,25.85"
橘子,农作物,果类,中国南方/东南亚,长江以南（江西、湖南、广西）,内蒙古;鄂尔多斯市,适宜温暖湿润气候，生长在肥沃、排水良好的土壤中。,橘子富含维生素C，是冬季常见的水果之一。橘皮在传统中医中也有药用价值。,橘子富含维生素C、膳食纤维，有助于提高免疫力、改善消化功能。,橘子以鲜甜多汁著称，是冬季重要水果，适合鲜食、榨汁或蜜饯加工；橘皮等副产品用于提取精油和中药材，构建完整产业链。,"108.97,39.61"
沙棘,农作物,果类,欧亚大陆（中国西北至欧洲）,西北干旱区（内蒙古、甘肃）,甘肃;金昌市,耐旱，适应干燥和贫瘠的土壤，常生长在盐碱地或干旱地区。,沙棘富含维生素C，常用于制作果汁、保健品等，具有强烈的抗氧化作用。,沙棘富含维生素C、E和抗氧化物质，具有增强免疫力、抗衰老的功效。,沙棘富含维生素和抗氧化物质，其果实广泛用于果汁、保健品及化妆品生产；全产业链延伸至种植、加工与推广，效益持续看好。,"102.19,38.52"
毛桃,农作物,果类,中国（野生桃的原始种）,西北干旱区（内蒙古、甘肃）,甘肃;酒泉市,适应干旱和高温环境，生长在贫瘠的土壤中，耐旱性强。,毛桃具有较高的营养价值，富含维生素和矿物质，常用于生食和加工成果品。,毛桃富含维生素A、C和钙，有助于提高免疫力、促进消化和保护眼睛。,毛桃果实肉质细嫩，酸甜适口，既可鲜食又能加工成果脯、果酱和果酒；产业带动区域果品深加工，助推地方经济多元发展。,"98.50,39.74"
山枣,农作物,果类,中国北方（野生枣）,西北干旱区（内蒙古、甘肃）,内蒙古;阿拉善盟,适应干旱气候，耐旱且耐盐，生长在贫瘠的土壤中。,山枣可作为食品，也有一定的药用价值，常用于中医调理身体。,山枣含有丰富的维生素C、钾和铁，有助于补血、抗衰老和增强体力。,山枣因独特口感和营养成分被广泛应用于食品和中药，其深加工产品如枣泥、枣糕和保健饮品，为地方经济注入新活力。,"105.70,38.85"
野杏,农作物,果类,中亚（中国新疆至哈萨克斯坦）,西北干旱区（内蒙古、甘肃）,江西;九江市,耐旱，适合干旱和温暖气候，生长在贫瘠的土壤中。,野杏主要用于食用，果实有一定的药用价值，也常用于传统草药中。,野杏富含维生素A、C和矿物质，具有抗氧化、保护眼睛和增强免疫力的作用。,野杏兼具药用与食用价值，其果实可加工成果脯、果汁和蜜饯，而杏仁也是油脂及保健品原料，市场前景十分广阔。,"115.97,29.71"
紫云英,农作物,饲料作物,中国长江流域,南方水稻田（江西、湖南）,新疆;伊犁州,适合湿润气候，常生长在稻田和绿洲农业区，土壤要求不高。,紫云英是重要的绿肥作物，常用于改良土壤，增加土壤肥力。,紫云英富含蛋白质和矿物质，常用于土壤改良和增强植物生长。,紫云英主要用作绿肥和土壤改良作物，其生物活性成分还能提取天然农药；种植紫云英改善土质，为农民创造额外经济收益。,"81.32,43.92"
绿肥,农作物,饲料作物,多指紫云英（中国原生）,南方稻田轮作区、西北绿洲农业区,吉林;白山市,适宜湿润气候，常用于稻田轮作和绿洲农业区，土壤应为排水良好的类型。,绿肥用于提高土壤肥力，是一种重要的农业环保作物，常用于轮作和绿化。,绿肥富含有机物质和矿物质，能够提高土壤肥力，促进农业可持续发展。,绿肥作物通过固氮和增添有机质改善土壤肥力，是生态农业的重要组成部分；其种植和加工为农田提供绿色肥料，增强农业竞争优势。,"126.42,41.95"
人参,农作物,药用作物,中国东北/朝鲜半岛,东北（吉林长白山）,甘肃;定西市,适宜冷凉湿润气候，生长在深厚、有机质丰富的土壤中，最好是在阴凉的环境下。,人参是一种著名的中药材，具有增强免疫力、抗疲劳、抗衰老等功效。,人参富含人参皂苷、维生素B、C，具有增强免疫力、抗疲劳、抗衰老的作用。,人参以珍贵药用价值闻名，主要用于保健品和中药制剂；从种植到提取、加工及品牌营销，推动高附加值中药材产业的国际化发展。,"104.63,35.58"
当归,农作物,药用作物,中国甘肃/四川,西北（甘肃、云南）,河南;信阳市,适应干燥气候，生长在肥沃、排水良好的土壤中。,当归是中药中的经典药材，常用于治疗血虚、月经不调等问题。,当归含有挥发油、铁、钾，能促进血液循环、调理月经，具有补血活血的功效。,当归是传统中药的重要代表，广泛用于调理气血和妇科保健；深加工产品涵盖药剂、保健食品及化妆品，助力中医药产业高附加值转型。,"114.07,32.13"
金银花,农作物,药用作物,中国东部/朝鲜半岛,华北（山东、河南）、华东（江苏）,江苏;南通市,适合温和湿润的气候，生长在排水良好的土壤中。,金银花具有清热解毒的作用，在中药中被广泛应用于抗炎、抗病毒治疗。,金银花富含黄酮类化合物，有清热解毒、抗炎抗病毒的作用。,金银花以清热解毒效用著称，是中药和保健品的重要原料；其深加工产品涉及饮料、提取物及化妆品，促进传统医药与农业融合升级。,"120.86,32.01"
薄荷,农作物,药用作物,地中海沿岸,华北（山东、河南）、华东（江苏）,湖北;黄冈市,适宜湿润温和的气候，生长在肥沃且排水良好的土壤中。,薄荷常用于调味、清凉饮料、药物等，具有清新口气、解暑的效果。,薄荷富含薄荷醇，具有清凉解暑、促进消化、舒缓头痛的效果。,薄荷以清凉提神闻名，是食品、饮料和医药的重要调味及药用原料；薄荷精油、饮品和化妆品产品不断丰富，推动健康天然资源产业升级。,"114.87,30.45"
艾蒿,农作物,药用作物,欧亚大陆广泛分布,湖北、湖南,湖南;长沙市,适合温和湿润气候，生长在肥沃排水良好的土壤中。,艾蒿在中医中用于艾灸、治疗寒湿等，具有驱寒暖身的效果。,艾蒿富含挥发油和微量元素，具有驱寒暖身、促进血液循环的作用。,艾蒿为中药和保健品的重要原料，具有驱寒祛湿的功效；其精油、保健品和绿色农药加工产品促进传统药材与现代农业高效融合。,"112.93,28.23"
