名称,所属类别,2级类别,出现时间,诞生地点,文化解读,传播范围,主要意义,经纬度
哈尼梯田,农业文化,农业系统,哈尼族先民开垦梯田的历史可追溯至1300多年前。,云南;元阳县,哈尼梯田作为中国古代农业系统的重要典范，通过层层梯级的开垦与水利调控，实现了山地资源的最大化利用和水土保持，充分展现了古人对自然规律的深刻理解和生态平衡的精妙把握，其曲折有序的梯田结构更是传递出人与自然和谐共生、勤劳智慧的永恒精神。,哈尼梯田以其独特的梯田景观和农耕智慧在云南及西南地区享有盛名，通过历史文献、世界遗产认定和生态旅游推广，其文化与农业系统的理念已在全国乃至国际上广泛传播，成为展示传统农耕智慧的重要典范。,哈尼梯田作为哈尼族在高山丘陵中因地制宜开垦出的灌溉梯田，其主要意义在于利用有限的山地资源实现高效农业生产，同时改善了当地生态环境，防止水土流失，促进了山区农业的长期稳定发展。该技术不仅在当时提高了粮食产量、保障了民生，而且对后世生态农业理念、现代水利工程和可持续农业实践产生了深远而积极的影响，成为古代农耕智慧的典范。,"102.03,23.01"
垛田农业,农业文化,农业系统,起源不晚于明清时期。,福建;泉州市,垛田农业作为古代农业系统中独具特色的耕作方式，利用地形陡峭处的土堆构筑出梯形耕地，不仅实现了有限土地资源的高效利用，还有效防止了水土流失，充分体现了古代劳动人民在恶劣环境下克服困难、开拓进取的科学智慧与创新精神。,垛田农业作为山地农耕的一种独特模式，其因地制宜的耕作方式在部分山区得到口耳相传和地方政府推广，通过农业科普、乡村振兴示范和文化遗产保护，其传播范围逐步覆盖全国多个山地农业区。,垛田农业体现了古代农民在山地及丘陵地区根据自然地形进行垒田作业的智慧，其主要意义在于通过因势利导的耕作模式，有效利用坡地和零散土地资源，实现了土壤养分的循环利用和水分调控。此技术在当时大大改善了局部农业生态，增强了抗旱抗涝能力，并对后代山区农业技术的改良与区域经济发展产生了深远的示范作用。,"118.58,24.91"
砂田农业,农业文化,农业系统,起源不晚于明清时期。,山东;泰安市,砂田农业作为一项独特的农业耕作方式，主要是在砂质土壤条件下通过科学调控水资源和精细耕作技术来促进作物生长，其方法克服了土质疏松、养分易流失的局限性，展现了古人因地制宜、顺应自然规律进行农业生产的卓越智慧和勤劳精神。,砂田农业利用砂质土壤开展高效种植的传统方法，在黄土高原及西北部分地区广为流传，经过地方农业推广和科研成果汇编，该模式已在相关区域形成稳定的传播网络，其经验在全国适宜区域得到有效传承。,砂田农业作为一种利用砂质土地进行耕作的特殊技术，其主要意义在于展现了古代农民在贫瘠环境中通过土壤改良和科学管理，实现土地高效利用与粮食自给自足的智慧。该技术不仅在当时使得本不适宜耕种的砂质地貌转变为可耕作的农田，而且对后世荒漠化防治、生态恢复和农业可持续发展提供了宝贵的实践经验和理论启示。,"117.13,36.18"
架田浮田,农业文化,农业系统,起源不晚于明清时期。,浙江;温州市,架田浮田作为古代农业系统中的一种创新耕作模式，依托架设技术和浮田原理实现水利调节与耕作环境的优化，其独特的构造不仅有效提高了农田的灌溉效率和土地利用率，还体现了古代劳动人民在农业生产中追求精细管理与科技创新的崇高精神。,架田浮田技术依托水域及堤坝设施进行农作物种植，其独特的水利管理模式在江南水网地区广泛应用，通过地方志、农业科技推广和示范田建设，该技术逐步传播到全国各水资源丰富地区，成为传统农业系统的重要组成。,架田浮田作为在水域或湿润地区构建耕作平台的独特技术，其主要意义在于通过架设人工田垄或浮动田块，实现水资源的高效利用和农田面积的拓展。该技术在当时不仅有效缓解了水域资源与耕地面积的不平衡问题，提升了作物产量，而且对后世水稻种植技术、灌溉工程以及农业系统多元化发展产生了深远影响，成为古代农耕智慧的重要组成部分。,"120.65,27.99"
茶马古道,农业文化,丝绸之路,起源不晚于唐宋时期。,云南;昆明市,茶马古道作为古代丝绸之路的重要组成部分，不仅承担着茶叶与马匹贸易的重任，更成为多民族文化交流与经济互通的桥梁，其历史发展过程充分反映出古人开放包容、互利共赢的商业智慧和跨文化交流的丰厚内涵，推动了区域繁荣与文明交融。,茶马古道作为丝绸之路的重要通道，其历史文化和商贸交流模式在古代中原与西南少数民族地区广泛传承，通过史书记载、民间传说和现代旅游文化推广，该古道的影响已扩展到全国各地，并辐射至东南亚及中亚多个国家。,茶马古道作为古代连接中原与边疆的重要商贸通道，其主要意义在于通过茶叶与马匹的互换贸易，极大地促进了区域间经济往来与文化交流。该通道在当时不仅推动了边疆地区经济的繁荣和农业产品的流通，而且为多民族文化的融合、军事物资的保障及交通运输技术的发展奠定了基础，对后世丝绸之路乃至国家统一与交流起到了不可替代的推动作用。,"102.73,25.04"
河西走廊,农业文化,丝绸之路,起源不晚于汉代。,甘肃;武威市,河西走廊作为古代丝绸之路的重要通道，凭借其独特的地理优势连接起东西方文明，其繁荣发展不仅推动了商业贸易的繁荣，也促进了文化、宗教与技术的深度融合，充分展现了古人利用自然通道推动区域交流与文明传播的雄厚实力与智慧。,河西走廊作为丝绸之路的重要节点，其战略地位和文化交流内涵在古代和现代均受到广泛关注，通过考古发掘、历史文献和旅游推广，该区域的文化传播范围覆盖全国，并在国际学术和文化交流中占有重要地位。,河西走廊作为我国古代东西方文化交流和经济贸易的重要通道，其主要意义在于作为连接中原与西域的战略要地，实现了农产品、手工艺品和文化艺术的广泛流通。该区域在当时不仅为中央政权提供了重要的军事防御和物资支援，还极大地促进了中西方文明、科技及宗教理念的交流与融合，对后世丝绸之路的繁荣发展和多元文化传播产生了深远的影响。,"102.64,37.93"
古冬枣园,农业文化,特色林果,起源不晚于明清时期。,河南;郑州市,古冬枣园作为中国传统特色林果文化的杰出代表，通过科学规划和精心管理形成了独具韵味的果园景观，其种植技术和生态管理理念充分体现了古人对自然资源的合理利用与珍视，既保障了经济效益的稳定增长，又传承了人与自然和谐共生的传统农业精神。,古冬枣园作为特色林果种植模式的代表，其优质枣园管理经验在华东、华南等枣类产区广为流传，通过地方特产宣传、农业文献和文化展览，该模式已在全国重点林果区域得到推广，形成了稳定的传播网络。,古冬枣园作为传统特色林果种植的典型实例，其主要意义在于通过长期的枣树栽培实践，形成了独具地方特色的果品种植模式，推动了区域农业经济的稳步发展。该技术在当时不仅改善了农业结构，增加了农民收入，而且对后世园艺栽培技术、品种改良和生态农业发展提供了宝贵的实践经验和文化传承范本，彰显了古代农耕文明的智慧和传承价值。,"113.65,34.76"
平谷麻核桃,农业文化,特色林果,起源不晚于明清时期。,北京;平谷区,平谷麻核桃作为具有代表性的特色林果种植模式，其独特的耕作方法和管理制度充分展示了古代农耕社会对经济效益与生态平衡的双重追求，借助于科学栽培技术和精细管理，不仅提高了果品的产量和品质，还蕴含着深厚的文化底蕴和传承智慧。,平谷麻核桃作为具有地域特色的林果品种，其种植技术和传统加工工艺在平谷及周边地区流传广泛，通过地方政府推广、农业科技成果和展会宣传，该产品已在全国市场上建立知名度，传播范围覆盖多个经济作物主产区。,平谷麻核桃作为地方特色林果农业的杰出代表，其主要意义在于通过科学布局与综合利用，实现了麻类作物与核桃经济作物的协同增效，促进了农业产业结构的多元化发展。该种植模式在当时不仅为当地农民创造了显著的经济效益，推动了区域经济繁荣，而且对后世农业种植模式、产品深加工和现代农业综合开发提供了重要的示范作用，体现了传统农耕智慧与现代农业理念的有机融合。,"117.12,40.14"
精耕细作,农业文化,农耕民俗,起源不晚于春秋战国时期。,河南;洛阳市,精耕细作作为古代农耕民俗中的核心理念，体现了农耕社会对每一分土地精心管理的严谨态度和对丰收目标的不懈追求，通过精细耕作、合理规划和科学管理，使得农业生产效率不断提升，彰显了古人勤俭持家、力求精致的传统精神与务实智慧。,精耕细作理念强调土地的精细管理与科学耕作，其思想通过古代农书、民间家训和现代农业示范项目在全国各农业区得到广泛传播，成为推动农业现代化和乡村振兴的重要文化理念，传播范围涵盖全国各地。,精耕细作作为古代农耕民俗中倡导的严谨耕作理念，其主要意义在于强调在农业生产过程中，通过精心耕作、科学施肥及合理轮作，实现土地资源的最大化利用和作物产量的稳步提升。该耕作方式在当时不仅推动了农业生产力的提高和粮食安全的保障，而且对后世农业科技进步、耕作方式改革以及现代农业管理理念的形成产生了深远而积极的影响，成为中华农耕文化的重要精神内核。,"112.44,34.70"
春耕,农业文化,农耕民俗,起源不晚于原始农业时期。,河南;郑州市,春耕作为古代农耕民俗的重要仪式，其内涵不仅在于标志着新一年的农事开始，更融合了隆重的祭祀礼仪以祈求天时顺利和五谷丰登，通过庄严的春耕祭祀活动，古人表达了对天地自然的敬畏和感恩之情，充分体现了农耕文化中团结、勤劳与信仰的深厚传统。,春耕祭祀作为农耕民俗的重要组成，其传统仪式和文化内涵在江南、华中等农业区广泛流传，通过地方节庆、民俗记载和文化遗产保护，在全国范围内均有传承和推广，成为春季农耕仪式的重要文化象征。,春耕作为我国传统农耕民俗中的重要祭祀仪式，其主要意义在于标志着农耕生产周期的开始，并通过庄重的祭祀活动表达对天地神灵的敬畏和祈求丰年的美好愿景。此仪式凝聚了农民群体的精神力量，激发了勤劳致富的生产热情，同时促进了社区的文化传承和社会稳定，对后代农业生产模式和乡村礼仪的延续产生了深远影响。,"113.65,34.76"
二十四节气,农业文化,农耕民俗,形成于秦汉时期。,河南;洛阳市,二十四节气是中国古代农耕民俗中总结自然气候变化规律的杰出成果，通过精确划分一年中的各个节令，指导农民合理安排播种、耕作、收割等农事活动，体现了古人对天文、气候和地理环境的深入观察与科学理解，既传承了农业智慧，又为后世提供了宝贵的文化遗产。,二十四节气作为总结自然气候变化规律的伟大成果，其理念不仅贯穿古代农业生产，而且通过历代典籍、学校教材和现代媒体在全国范围内广为传播，同时也进入国际科普领域，成为中华文化的重要标识。,二十四节气作为我国古代独创的历法体系，充分反映了先民对天文、气候与农事规律的精准观察和总结。其主要意义在于为农业生产提供科学的时令指导，使农民能够依据自然变化合理安排耕作活动，从而保障粮食丰收并维护生态平衡。该制度流传至今，不仅丰富了民族文化内涵，也对后世农事安排和自然科学研究产生了长远的影响。,"112.44,34.70"
周代农事月令,农业文化,农耕民俗,形成于周代。,陕西;西安市,周代农事月令作为中国古代农耕民俗的重要组成部分，以天体运行和季节更替为依据，系统地规定了各月农事活动和祭祀礼仪，展现了古人对自然规律精准把握和农业生产合理组织的智慧，其内涵深刻地反映了传统社会对天地人和谐共生的崇高理念和科学精神。,周代农事月令作为反映古代农耕节令的记载，其内容在历代文献、地方志和民间祭祀中得到广泛传承，经过各级文化机构和农业部门的整理推广，已在全国各地得到系统传播与应用。,周代农事月令作为古代农业管理的重要制度，其主要意义在于系统规定各月农事活动，科学指导农民合理安排耕作和劳作任务。此制度不仅体现了古人对天时地利的深刻认识，而且通过严格的月令安排提高了农业生产效率，确保了粮食的稳定供应，为后代农事管理提供了宝贵的历史经验和理论基础。,"108.95,34.27"
中秋,农业文化,农耕民俗,起源不晚于周代。,河南;郑州市,中秋作为中国传统节日的典型代表，不仅象征着团圆美满和丰收喜悦，还融合了祭月祈福、赏月吟诗等多种民俗活动，充分展示了古代农耕社会对天体变化和自然节奏的敬畏与感恩，其文化内涵历经岁月传承，成为中华民族精神的重要载体和象征。,中秋节作为中国传统节日，其团圆与丰收的象征意义自古以来在宫廷文献、民间歌谣和现代媒体中广为流传，其庆祝方式和文化内涵在全国各族群体中普及，形成了全国范围内共同参与的重要文化传统。,中秋作为我国传统节日的重要代表，其主要意义在于借明月寄托丰收与团圆的美好寓意，表达了人们对自然恩赐和家国兴旺的无限憧憬。中秋节的庆祝活动不仅丰富了农耕社会的节日文化，还增强了家族和社区的凝聚力，对后代传承中华文化和巩固民族情感具有重要而深远的影响。,"113.65,34.76"
苗族“吃新节”,农业文化,农耕民俗,起源不晚于古代苗族社会。,贵州;贵阳市,苗族“吃新节”是苗族农耕民俗中独具特色的秋收庆典，其习俗通过品尝新鲜农产品和举行隆重的祭祀仪式，表达了对丰收的感激与对自然赐予的崇敬，充分体现了苗族人民勤劳智慧和对大地恩惠的真诚赞美，传递出浓郁的民族风情和历史文化底蕴。,苗族“吃新节”作为苗族地区秋收庆典的重要活动，其传统仪式和风俗在苗族聚居区广泛传承，通过民族节庆、文化交流和旅游推广，该习俗已在全国范围内得到展示和传播，成为少数民族农耕文化的独特符号。,苗族“吃新节”作为苗族地区特有的秋收庆典，其主要意义在于通过集体品尝新收获的农产品，表达对丰收的感激和对大自然恩惠的崇敬。该节日既展示了苗族农耕文明的独特魅力，也强化了民族团结和文化认同，对推动农业社会的和谐发展以及传承少数民族传统风俗产生了长远影响。,"106.71,26.57"
开秧门,农业文化,农耕民俗,起源不晚于明清时期。,浙江;嘉兴市,开秧门作为农耕民俗中春耕祭祀的重要仪式，标志着新一年度农业生产的正式开启，通过举行隆重而庄严的祭祀活动，祈求天降甘霖和五谷丰登，体现了古人对自然规律的敬畏和对农业丰收的殷切期望，展现出浓厚的民族传统和文化传承精神。,开秧门作为春耕祭祀活动的重要仪式，其仪式流程和文化象征在江南等农业发达地区广为流传，通过民间口传、地方节庆和历史文献的记录，该活动逐步推广至全国各农业区，成为传统农耕文化的活态传承。,开秧门作为我国传统春耕祭祀活动中的典型仪式，其主要意义在于标志着新一季耕作的正式开始，并通过庄严仪式祈求播种丰收。此活动不仅激发了农民对春耕生产的热情和信心，还弘扬了尊重自然、崇尚劳动的传统美德，对维护农业生产秩序和传承乡村文化起到了积极而持久的推动作用。,"120.75,30.75"
尝新节,农业文化,农耕民俗,起源不晚于明清时期。,浙江;绍兴市,尝新节作为秋收庆典中的传统节日，以品尝新收获的粮食和农产品为主要内容，寓意着对大自然慷慨馈赠的感恩和对丰年美景的热烈庆祝，古人借此活动传播农耕智慧、凝聚乡里情谊，彰显了传统农耕文化中勤劳致富、和谐共生的崇高理念。,尝新节作为秋收庆典中的传统习俗，其仪式内容和文化意义在各地农耕社会中得到广泛流传，通过口耳相传、民间节日活动及现代文化展览，该节庆活动在全国范围内普及，成为农耕民俗文化的重要组成部分。,尝新节作为传统秋收庆典的重要组成部分，其主要意义在于通过品尝新鲜农产品，象征性地庆祝丰收成果并表达对大地慷慨馈赠的感恩之情。该节日不仅反映了农耕社会对自然周期的深刻理解，也促进了社区间的交流与和谐，对后代农业文化和农事习俗的传承具有不可磨灭的积极影响。,"120.58,30.01"
彝族火把节,农业文化,农耕民俗,起源不晚于古代彝族社会。,四川;凉山州,彝族火把节是彝族农耕民俗中的重要庆典，通过燃放火把、举行舞蹈和歌唱活动，寓意驱逐邪祟、祈求丰收和辟除灾厄，其热烈而庄重的仪式不仅反映了彝族人民对自然和生命力量的崇拜，也展现了深厚的民族文化底蕴和对农业丰收的真诚期盼。,彝族火把节作为彝族地区秋收庆典的重要仪式，其独特的火把表演和祭祀活动在彝族及周边地区广泛传承，通过民族文化节、地方志记载和现代媒体宣传，该节日的文化内涵在全国乃至国际上得到传播，彰显了少数民族的独特魅力。,彝族火把节作为彝族传统秋收庆典的重要仪式，其主要意义在于通过燃放火把和举行盛大庆典，祈求丰收和驱除邪祟，进而巩固民族团结与文化认同。该节日充分展示了彝族人民对自然法则的崇敬和对农业丰收的热切期盼，对社会和谐及农耕文化传承产生了深远而积极的历史影响。,"102.27,27.90"
陕北信天游,农业文化,农耕民俗,起源不晚于明清时期。,陕西;延安市,陕北信天游作为农事民歌中的经典代表，以质朴激昂的旋律和简练生动的歌词表达了陕北农民在艰苦劳作中对大自然的敬仰和对美好生活的向往，充分体现了当地民众对风土人情的深刻体会和对农耕文化的热爱，成为区域文化传承的重要载体。,陕北信天游作为陕北地区特色农事民歌，其朴实激昂的旋律通过民间传唱、地方戏曲和文艺演出在陕北及周边地区广泛流传，随着文化产业的发展，该民歌已在全国范围内和海外华人社区中得到广泛传播。,陕北信天游作为陕北地区广为流传的农事民歌，其主要意义在于以质朴激昂的旋律和生动形象的歌词记录农民在耕作过程中的艰辛与豪迈，表达了对大自然的敬畏和对生活的热爱。此民歌不仅成为农耕劳动者情感宣泄的重要载体，而且对后世乡土音乐的发展和农业文化的传承起到了深远的推动作用。,"109.47,36.60"
江南田歌,农业文化,农耕民俗,起源不晚于明清时期。,江苏;苏州市,江南田歌是江南地区农耕民俗中流传广泛的民歌形式，通过悠扬的旋律和朴实无华的歌词描绘出农民耕作劳作中的艰辛与喜悦，展示了江南水乡独特的自然风光和人文情怀，深刻反映了古代农民对丰收期盼与生活理想的真挚情感和文化认同。,江南田歌作为反映江南农耕生活的民歌，其悠扬旋律和质朴歌词在江南水乡各村镇代代相传，通过书籍、电视节目和民俗节庆，该艺术形式已在全国范围内得到传播，成为展示江南传统农耕文化的重要载体。,江南田歌作为江南地区传统农事民歌的重要代表，其主要意义在于通过悠扬轻快的旋律和朴实真挚的歌词，真实反映了农民日常耕作与田园生活的点滴情景，寄托了对自然恩赐的感恩之情。该民歌不仅丰富了农耕文化的艺术表现形式，还在历史长河中促进了乡村文化的延续和民间音乐的传承，对后代文化发展产生了深远的正面影响。,"120.58,31.30"
武夷山茶,农业文化,农业经济,起源不晚于唐代。,福建;武夷山市,武夷山茶作为中国农业经济和茶文化的重要象征，其独特的种植工艺和制作技艺凝聚了古代劳动者对大自然细致观察和长期实践的智慧，茶叶不仅以醇厚独特的风味赢得世人青睐，同时也承载着浓厚的文化内涵和审美情趣，彰显出中华民族对自然馈赠的珍视与传承。,武夷山茶作为中国茶文化的重要代表，其优质茶叶和独特制作工艺在福建及周边茶区广泛流传，通过古籍记载、茶文化节和国际展会，武夷山茶的形象已在全国乃至全球范围内传播，成为中华茶文化的标志性产品。,武夷山茶作为中国古代农业经济中茶文化传承的重要载体，其主要意义在于推动了地方经济的繁荣与文化的交流，通过独特的种植、采摘和加工工艺，不仅奠定了区域茶叶品牌的历史地位，而且为后世茶文化的发展提供了宝贵的经验和技术启示，促进了农产品增值和农业生态系统的和谐共生，对中国乃至世界茶业产生了深远的影响。,"117.67,27.75"
普洱茶马,农业文化,农业经济,起源不晚于唐代。,云南;普洱市,普洱茶马作为中国古代农业经济与茶文化的重要典范，在农耕与商业贸易领域中充分体现了古人对普洱茶独特品质的精心培育与长途运输智慧。农民利用天然山林资源种植优质茶叶，并依托古老的茶马古道进行马匹运输，实现了茶叶与马匹互补互利的贸易模式，从而推动了区域经济的繁荣与文化传承，展示了中国古代农耕智慧和工商业发展的有机结合。,普洱茶马作为茶文化与商业贸易相结合的典型模式，其历史与实践在云南及相关茶区广为传承，通过茶马古道的文化记载、地方文献及现代旅游推广，该模式已在全国范围内得到认可，并在国际茶文化交流中逐步扩展影响力。,普洱茶马作为古代中国茶马古道贸易体系中的重要环节，其主要意义在于构建了跨区域经济交流和文化传播的桥梁，通过以茶易马的独特贸易模式，不仅推动了西南边疆经济和民族文化的融合发展，而且在当时激发了农产品流通与市场开拓的活力，为后代边疆贸易及多元文化交融树立了宝贵的历史范例。,"100.98,22.78"
