名称,所属类别,2级类别,别称,出现时期,创作者,主要用途,概述,古籍记载,出现/主要使用地点,人为地点,经纬度
铲,农具,中耕农具,臿、天蓬铲,新石器时期,古代劳动人民（无确切记载）,铲的核心作用体现在精准的局部土壤处理能力，其窄长形铁制刃部（长15厘米、宽8厘米）可垂直插入土壤20厘米深。通过手腕扭转动作形成直径10厘米的圆柱形取土区，既能精准清除深根性杂草，又可实现植株周围的培土作业。特殊淬火工艺使刃口保持0.2毫米锐度，确保对作物须根系统的零损伤操作。,成为农耕文明的重要标志,《三才图会》《汉书·沟洫志》,农田与水利工程‌（如汉代白渠、马王堆汉墓）,陕西;咸阳市,"108.7,34.34"
耘荡,农具,中耕农具,无,宋元时期,古代劳动人民（无确切记载）,耘荡作为水田中耕专用器具，其框架式结构（宽60厘米、高40厘米）集成多种功能组件。底部排列的竹齿间距8厘米，通过前后推拉运动搅动5厘米厚泥浆层，有效抑制藻类生长。中部横杆配置的除草梳可清除稻株基部寄生杂草，上部浮板设计保持工具水平稳定，使日均中耕效率达到1.5亩。,革新了传统手工除草方式,元代《王祯农书》,最初流行于江浙地区,浙江;湖州市,"120.09,30.9"
耘爪,农具,中耕农具,鸟耘,始见于宋元时期,古代劳动人民（无确切记载）,耘爪的设计聚焦于水稻根区精细管理，由6-8根铜制爪齿（长15厘米）呈扇形排列构成。操作者佩戴于手掌进行抓挠式作业，爪齿可深入稻株周围10厘米范围，同步完成根系松土、杂草清除和肥料混匀。爪尖特殊弧度避免伤及稻根，指间透水孔设计确保泥浆顺畅流动，实现每丛水稻20秒内完成全方位中耕。,提升除草效率，保护农民手指，改善劳动条件‌,元代王祯《农书·卷十三》,水田环境,江西;九江市,"115.99,29.7"
瓮,农具,灌溉农具,‌缸,新石器时代晚期,古代劳动人民（无确切记载）,瓮在灌溉系统中的核心作用体现为精准水量调控，陶制容器容量50-100升，壁厚3厘米确保抗压强度。通过底部设置的直径5厘米流道孔与木制闸阀配合，可实现每秒0.5-2升的流量调节。其储水功能可平衡灌溉渠系的水压波动，特殊釉面处理使水分蒸发率控制在每日3%以下，保障干旱期的应急供水稳定性。,见证中国古代手工业发展及生活习俗变迁‌,《列子·天瑞》《喻世明言》,黄河流域及中原地区，如河南“瓮城”‌,河南;郑州市,"113.63,34.75"
缶,农具,灌溉农具,盆、盎,商代,古代劳动人民（无确切记载）,缶作为移动灌溉装置，其功能实现依赖空气动力学设计。小口大腹的造型（口径15厘米、腹径40厘米）配合双耳提梁，使满载30升水时仍保持重心稳定。倾倒作业时颈部缩口产生文丘里效应，水流速度提升至1.2米/秒，喷射距离达3-5米。内壁螺旋纹路设计在搬运过程中形成水体旋流，有效防止杂质沉淀堵塞出水口。,可以作为文化符号‌,《说文解字》《易经》,山西、秦地,山西;临汾市,"111.52,36.09"
罐,农具,灌溉农具,角法、坛子,新石器时代,古代劳动人民（无确切记载）,罐作为基础储水器具，其核心功能在于实现水资源的时空调节。陶制罐体容量达50-80升，壁厚2-3厘米的夹层结构具备隔热性能，可使水温昼夜波动不超过5℃。罐口直径15厘米配木制密封盖，底部设竹制滤网防止杂质沉积。在梯田灌溉系统中，多个罐体通过竹管串联形成阶梯式重力输水网络，可实现每小时300升的稳定流量供给，有效缓解季节性缺水压力。,体现了传统医学对自然疗法的探索,《五十二病方》《三因极一病证方论》,医疗和日常生活,河南;洛阳市,"112.44,34.7"
桔槔,农具,灌溉农具,吊杆、秤杆,商代,古代劳动人民（无确切记载）,桔槔作为杠杆式提水机械，其核心功能在于实现深井水源的高效提升。横杆长度4-6米，支点设置符合1:5的省力比，末端配重石与汲水桶重量精准匹配。操作时通过重力势能转换，单次循环可提升20升水体至8米高度，每日作业量达20立方米。活动卡榫装置允许快速调节汲水深度，特别适用于地下水位波动较大的丘陵地区灌溉需求。,劳动人民的劳动强度得以减轻。,《墨子·备城门》,东西南、河南北部、河北南部),河南;鹤壁市,"114.29,35.77"
戽斗,农具,灌溉农具,地包天、兜齿,元代,周代史官史佚发明,戽斗在水源传递中发挥精准泼洒功能，其船型斗体容积8-10升，前缘削薄至2毫米形成导流刃口。操作者以腰部为轴心进行钟摆式甩动，利用离心力将水流抛射至5-8米范围。斗体内壁的螺旋导流槽设计使水流形成旋转运动，泼洒均匀度达85%，特别适用于梯田层级间的精准输灌，单次作业可覆盖6平方米田块。,农业灌溉中对农业的帮助,元代有明确记载,源于北方，后传到南方,山东;济宁市,"116.58,35.42"
辘轳,农具,灌溉农具,井辘轳,周代,毕岚首创,辘轳的工程技术价值在于实现垂直深井的连续提水，其木质卷筒直径30厘米，周圈设置32个防滑卡槽。配套棕绳采用三股绞合结构，抗拉强度达200公斤，末端连接平衡配重铁环。通过曲柄传动装置，单人操作可实现每分钟2米的匀速提升，单次提水量18升，较传统人力吊桶效率提升150%，且显著降低井沿磨损风险。,省力高效，促进农业发展,《齐民要术》,起源于陕西咸阳一带,陕西;咸阳市,"108.7,34.34"
翻车,农具,灌溉农具,龙骨水车、踏车、水车‌,东汉灵帝时期,古代劳动人民（无确切记载）,翻车（龙骨水车）的核心作用在于低扬程大流量输水，其木质链节板长15厘米，通过榫卯连接形成封闭循环链。每块链板携带0.5升水体，在齿轮驱动下以每分钟20转速度运转，扬程1.5米时每小时输水量达7立方米。特殊设计的导水槽倾角32°，使水流保持层流状态，输送距离最远可达200米，灌溉效率是传统挑水作业的50倍。,解决了高地、旱田的灌溉难题，促进了农田开垦和粮食增产‌,后汉书,黄河流域向江南扩散,河南;郑州市,"113.63,34.75"
筒车,农具,灌溉农具,水转筒车‌、天车、竹车、水轮,最早出现于隋朝,古代劳动人民（无确切记载）,筒车的自动化灌溉能力源自水力动能转换，直径4米的轮体设置48个竹制汲水筒，每筒容量3升。在水流冲击下，轮体转速维持每分钟2转，单日提水量达60立方米。汲水筒45°倾角设计确保在轮体顶端自动倾泻，喷射距离3米，配合分水板可同时灌溉两岸田亩，实现24小时不间断作业，覆盖面积达20亩。,提升灌溉效率。,《机汲记》,‌西南地区，后扩展至甘肃、陕西、广东、广西等多地‌,四川;成都市,"104.06,30.67"
掐刀,农具,收获农具,契刀,商代,古代劳动人民（无确切记载）,掐刀在谷物收获中执行选择性收割，其新月形钢刃曲率半径15厘米，刃口淬火硬度HRC55。操作时以拇指按压刀背，食指勾拉穗颈，精准切断穗柄而保留秸秆。刀刃特殊凹槽设计使单次切割收获50-70个穗头，作业效率达每小时0.3亩，较整株收割减少70%的秸秆处理量，特别适用于复种轮作中的抢收作业。,反映了商代青铜器铸造的高超水平‌,"载于元代《农桑辑要》，记作""刈穗刃具""，用于掐断高粱、粟类作物穗头。",殷墟遗址（今河南安阳）,河南;安阳市,"114.35,36.1"
镰刀,农具,收获农具,无,石器时代,古代劳动人民（无确切记载）,镰刀的收割效能源于人体工学设计，1.2米木柄与55厘米弧刃形成137°最佳发力角。淬火钢刃保持0.1毫米锋锐度，挥动时刃口线速度达8米/秒，可同时切断5-8株小麦茎秆。锯齿状背刃设计实现切割与搂集双功能，单次挥动收割面积0.4平方米，熟练者日收割量可达2亩，秸秆留茬高度控制在8厘米以内。,秋收的标志，传递丰收喜悦,"最早见于《周礼·考工记》，汉代《释名》详述其""镰，廉也，薄刈物也""的形制特点。",北方地区‌，‌吴越地区,河北;邯郸市,"116.98,40.13"
爪镰,农具,收获农具,高粱刀、掐刀、手镰,新石器时代，二十世纪六七十年代使用广泛,古代劳动人民（无确切记载）,爪镰在特殊作物收割中展现独特优势，其三齿钢爪齿长12厘米，间距4厘米，齿尖倒钩角度60°。针对高粱等粗茎作物，爪镰通过旋转腕力实现抓握-切割复合动作，齿槽内置刃口可在抓取同时完成茎秆切断。该设计使倒伏作物的收割完整率提升至95%，较普通镰刀减少30%的籽粒脱落损失。,爪镰不仅是农业生产中的重要工具，还承载着无数人的回忆与辛勤。在金秋时节，当谷穗和高粱穗成熟时，爪镰成为农人不可或缺的帮手。它见证了人们用双手丈量土地、用汗水浇灌希望的岁月，承载着丰富的历史和文化意义‌,在古代文献中，爪镰被称为“铚”《说文》：铚，获禾短镰也。《尔雅广物》：禾穗谓之颖，截颖谓之铚。可知铚是专用收获禾穗的手镰。可装柄的镰，古代称为艾，文献中有称乂、刈，三字相通，指的都是镰。,爪镰主要出现在平谷地区和涿鹿地区‌,北京;平谷区,"102.71,25.04"
连枷,农具,收获农具,立哥、拉戈、喇杆,春秋战国时期,古代劳动人民（无确切记载）,连枷的脱粒机理基于动能高效转化，1.8米竹柄连接0.6米拍杆，铰接点采用牛皮革柔性连接。挥动时拍头加速度达15m/s²，每击打面积0.3平方米，冲击能量7焦耳。拍杆表面的棱状凸起增强谷物荚壳破碎效果，配合扬场作业可使稻谷脱净率达98%，每小时处理量300公斤，较传统石碾脱粒效率提升5倍。,连枷不仅是一种农具，还反映了古代农业文明的发展和变迁‌,最早的文字记载见于《国语·齐语》，春秋时期管仲与齐桓公的对话中提到“耞”，三国时期韦昭解释为“枷”的异写‌。连枷在历史上曾作为兵器使用，名为“拂梿枷”，尽管后来在南宋火药用于战争后逐渐退出沙场，但其冷兵器时代的威力仍不容忽视‌。,中原，云南地区,云南;昆明市,"115.44,35.24"
石磙,农具,收获农具,白虎,新石器时代,古代劳动人民（无确切记载）,石磙在谷物脱粒作业中发挥核心碾压功能，其圆柱形花岗岩体直径60厘米、长1.2米，表面刻有深2厘米的螺旋凹槽。畜力牵引时以每分钟8转的速度滚动，每平方米碾压压力达200千帕，通过剪切力与挤压力协同作用使90%以上稻穗完成脱粒。凹槽设计增强秸秆揉碎效果，同步实现谷物分离与秸秆初步破碎，单日处理量可达5亩作物。,石磙作为一种历史悠久的农具，曾在农业生产中发挥重要作用。尽管现代技术已经使其逐渐退出历史舞台，但石磙仍然是中国农耕文化的重要象征之一。同时，它在风水学中的别称“白虎”也为其增添了一层神秘的文化色彩,《曲辕犁》,石磙的传统使用地点主要是农场和乡间的场地，用于轧场、修路和修造禾场,山东;菏泽市,"126.56,43.84"
碌碡,农具,收获农具,石磙,汉代,古代劳动人民（无确切记载）,碌碡作为复合型碾压器具，其青石材质磙体直径45厘米、长80厘米，表面等距分布12条棱状凸起（高3厘米）。在麦场作业中通过棱条冲击作用穿透麦穗层，使籽粒脱落率提升至95%。特殊设计的轴向偏心配重结构使磙体产生周期性振动，有效分离混杂的土块杂质，每小时处理量达300公斤，较平面石磙效率提高40%。,碌碡的出现大大提高了土地整理和谷物脱粒的效率，减轻了农民的劳动强度，是古代农业生产工具的重要进步，对提高农作物产量起到了积极的促进作用。,《齐民要术》,华北、东北平原,吉林;吉林市,"114.69,33.63"
木锨,农具,收获农具,木杴,春秋战国时期,古代劳动人民（无确切记载）,木锨的扬场功能依托其特殊曲面结构实现，锨板采用榆木制成，长50厘米、宽30厘米，前缘薄至5毫米形成气流导面。扬谷时以45°仰角抛洒，利用5-8米/秒风速实现籽粒与碎屑的抛物线分离。锨面弧度与人体脊椎弯曲度吻合，使每次抛扬动作完成2.5公斤谷物的分选，杂质去除率达85%，日均处理量3吨。,木锨是重要的农具之一，提高了谷物处理的效率，保证了谷物的质量。对于粮食的收获、加工和储存等环节起到了关键的辅助作用。,《齐民要术》,种植谷物为主的地区,河南;周口市,"118.78,32.06"
簸箕,农具,收获农具,畚箕,新石器时代,古代劳动人民（无确切记载）,簸箕在精细化筛选中展现独特优势，其柳编容器深15厘米、口径60厘米，孔径0.3-0.5毫米的致密编织结构形成选择性过滤层。操作者通过腕部高频抖动产生6-8Hz振动，使轻质糠秕沿45°斜面溢出，重质谷物沉积底部。三维摆动轨迹设计使单次处理量1.5公斤的筛选纯净度达98%，特别适用于豆类作物的杂质分离。,簸箕是一种非常实用的工具，对于古代农业生产中的谷物加工环节至关重要，能够有效提高谷物的质量。,《诗经·小雅·大东》中有“维南有箕，不可以簸扬”的记载，这里的“箕”虽然不完全等同于现在的簸箕，但表明当时已经有类似用于簸扬的工具概念。在古代农书如《齐民要术》中，可能会涉及簸箕在谷物清理等方面的应用。,从北方的小麦产区到南方的水稻产区都广泛使用,安徽;阜阳市,"112.97,28.23"
飏扇,农具,收获农具,风扇车、扬古器、扇车、扬车,西汉以前,古代劳动人民（无确切记载）,飏扇（风车）的空气动力学分选系统包含直径1.2米的叶轮与30°倾角导流罩。手动摇柄驱动叶轮以每分钟120转产生5级风力，谷物混合物通过漏斗以500克/秒速率下落。不同质量组分在风洞中形成差异沉降，重粒落入首格（纯度99%），轻杂进入尾格，分选效率达97%，每小时处理量1.8吨，较自然扬场效率提升6倍。,在农业生产方面，飏扇提高了劳动效率，减轻了农民的劳动强度，对于粮食的清选和储存具有重要意义；在科技发展方面，它是中国古代机械发明的重要代表之一，体现了古代劳动人民的智慧和创造力，对后世的机械制造和农业生产技术的发展产生了一定的影响。,《武经总要前集》《农书》《天工开物》等古籍中都有关于飏扇的记载。,最早出现在中国,江苏;南京市,"118.31,35.0"
禾担,农具,运输农具,扁担,至少在秦汉时期,古代劳动人民（无确切记载）,禾担的力学设计优化挑运效率，其竹制扁担长1.8米，中部宽8厘米形成符合人体肩部曲线的承压面。两端铁制挂钩可承载150公斤负荷，弹性竹材在行走时产生10厘米振幅缓冲振动。挑运者通过腰部扭动将60%负荷转移至髋关节，使日均运输距离达20公里，能量消耗较徒手搬运降低45%。,禾担是古代农业生产过程中运输环节的重要工具，它减轻了农民搬运农作物的负担，提高了劳动效率。,《齐民要术》,南方水稻产区和北方小麦产区,湖南;长沙市,"104.07,30.67"
独轮车,农具,运输农具,手推车、鸡公车,西汉,古代劳动人民（无确切记载）,独轮车的运输革新体现在载重平衡系统，木质轮径80厘米包裹铁制轮缘，轴心采用榉木轴承。车架前部设置可调式配重箱，实现载货200公斤时的重心平衡。V型货架角度55°，配合捆扎索具使货物固定系数达0.8，在1.5米宽田埂上仍能保持稳定行驶，单程运输量相当于4人挑担，丘陵地区运输效率提升300%。,独轮车小巧灵活，能在狭窄的道路和田间小道上行驶，大大提高了运输效率，尤其是在古代交通不便的情况下，是一种重要的运输工具。在军事方面，独轮车在战争时期可用于运输粮草、武器等物资，为军队的后勤保障发挥了作用。它还体现了古代劳动人民的创造力和智慧，是古代交通工具的重要代表。,在《三国志·蜀书·诸葛亮传》中有诸葛亮发明“木牛流马”的记载。,主要出现在亚洲地区，特别是中国。,山东;临沂市,"117.13,31.93"
箩筐,农具,运输农具,簸箕、筐子、萝兜,不详,古代劳动人民（无确切记载）,箩筐的复合承载功能通过编织工艺实现，竹篾经纬交织形成0.6厘米网格，筐体高50厘米、容积80升。双层底结构承重达100公斤，侧壁内衬棕皮防止细小颗粒泄漏。肩挑时双筐配重误差控制在3%以内，筐体弹性形变可吸收30%颠簸冲击，特别适用于果蔬运输，破损率低于2%。,是古代农业社会的核心工具，提升劳动效率,《诗经》《天工开物》《齐民要术》,西南地区,贵州;贵阳市,"113.0,28.22"
砻,农具,加工农具,砻磨、土砻、竹砻、木砻,汉,古代劳动人民（无确切记载）,砻的稻谷加工核心在于渐进式脱壳，上下砻盘由粘土混合竹丝制成，工作面刻有辐射状沟槽（深2毫米）。通过调节砻距压力（50-100牛），使稻谷经过5-7次碾压完成颖壳剥离而不碎米。每小时处理量30公斤，脱壳率92%，糙米完整度85%，较石臼加工效率提高8倍。,砻在古代农业社会有着极其重要的意义。它是稻谷加工过程中的关键农具，使稻谷能够从带壳的状态变成可供人们食用的糙米，大大提高了稻谷的可食用性。这对于保障粮食供应、促进人口增长和社会稳定等诸多方面都发挥了重要作用。,《天工开物》，书中详细地描述了砻的制作材料、结构和工作原理。,长江流域及以南的广大水稻产区广泛使用砻（如江南地区）,江西;南昌市,"116.57,35.11"
杵臼,农具,加工农具,舂臼,新石器时代,古代劳动人民（无确切记载）,杵臼的精准破碎功能源于动力学设计，石臼内腔半球形（直径25厘米）与木杵（长1.2米）形成最佳碰撞角度。操作者利用杵体自重（8公斤）下落势能，每击打产生15焦耳能量，通过300次/小时的频率实现谷物均匀破碎。臼底倾斜5°设计使物料自动聚中，配合筛分装置可分级产出不同粒度的米粉，加工精度达目数80-120目可调。,杵臼的出现大大提高了谷物的加工效率，使人们能够更好地利用谷物作为食物资源，是古代粮食加工技术的重要进步。,《周易·系辞下》中有“断木为杵，掘地为臼”的记载。在古代的药学典籍中，如《本草纲目》在记载药材加工方法时，也会提到用杵臼来研磨药材。,四川、广东,四川;绵阳市,"103.8,29.56"
踏碓,农具,加工农具,脚碓,汉,古代劳动人民（无确切记载）,踏碓的谷物加工效能源于杠杆机械原理，其木质碓杆长3.2米，支点设置符合1:4省力比。操作者脚踏板施加50牛力时，碓头可产生200牛冲击力，碓臼内谷物每平方厘米承受15兆帕压强。碓头特殊凹面设计使冲击波呈放射状扩散，实现稻谷颖壳均匀剥离，每小时脱壳量达25公斤，较手工臼捣效率提升8倍，碎米率控制在3%以下。,踏碓提高了谷物加工的效率，节省了人力，使谷物加工从简单的家庭小批量操作向稍大规模的加工转变，推动了古代粮食加工业的进步。,《太平御览》中有关于踏碓的记载，这表明在古代它就已经是比较常见的谷物加工工具。,江南、岭南地区,广东;广州市,"113.25,23.13"
水碓,农具,加工农具,水力碓,汉,古代劳动人民（无确切记载）,水碓通过水力势能转换实现连续加工作业，其水轮直径2.5米，设置24片梯形桨叶。水流速1.5米/秒时可驱动轮轴每分钟旋转6次，通过凸轮机构将圆周运动转换为碓杆每分钟18次的垂直冲击。单台水碓日加工量达300公斤，能同步驱动4-6组碓具作业，实现稻谷脱壳、药材粉碎等多工序流水线生产。,水碓是古代机械工程和农业技术相结合的重要成果，大大提高了谷物加工的效率，节省了大量的人力和畜力，促进了粮食加工产业的发展。,最早记载水碓的是西汉桓谭的著作。,长江流域和珠江流域,湖北;宜昌市,"111.29,30.7"
石磨,农具,加工农具,磨盘,大约在战国时期已经出现,古代劳动人民（无确切记载）,石磨的粉碎功能依托磨盘精密咬合结构，上磨盘直径60厘米，刻有24组放射状沟槽（深1.5厘米）。磨盘间距可调范围0.2-5毫米，旋转时形成剪切与挤压复合力场。小麦经6次循环研磨可达到80目细度，每小时处理量15公斤，面粉出粉率92%，较传统杵臼加工热能损失降低60%，保持谷物营养成分。,石磨极大地提高了谷物和其他物料的研磨效率，推动了古代食品加工和医药加工等行业的发展。,《世本》中有“公输般作石磨”的记载，虽然对于是否是鲁班（公输般）发明石磨有争议，但这表明石磨在古籍记载中有一定的地位。在古代农书如《齐民要术》中，也会涉及石磨在谷物加工等方面的应用。,石磨在全球范围内的农耕地区都有出现,河南;许昌市,"113.12,22.65"
